fsq_id,name,latitude,longitude,address,category,date_created,name_clean,suspicious_name,price,rating,total_photos,total_ratings,total_tips,tastes,tips,price_level,neighborhoods
65bfa63c0e17342d6d92a7d0,Plenty Sld’s,24.823815,46.728667,"Saeed Bin Zaid St, الرياض 13248",['Salad Restaurant'],2024-02-04,plenty sld’s,False,$,9.1,872.0,53.0,3.0,,,1.0,Qurtubah Dist.
64a81ca98b1e204e77d9e175,Meashmesh (Meshmesh),24.828721,46.72738,"Park Avenue mall Gate 2, الرياض 13248",['Juice Bar'],2023-07-07,meashmesh (meshmesh),False,,,0.0,,0.0,,,1.0,Qurtubah Dist.
619ebfb4ba30e47d9e73d8bd,Paz Coffee Bar,24.827015,46.735576,"Dabas Bin Rashed St., الرياض 13248",['Coffee Shop'],2021-11-24,paz coffee bar,False,$,7.9,351.0,43.0,18.0,,"[{'content': '""Cozy place, quiet, friendly staff and GREAT V60 🤤""(2 Tips)', 'tag': 'Cozy', 'tag_counts': '(2 Tips)'}]",1.0,Qurtubah Dist.
6053b51d68844572260b6a84,Cacti Cafè,24.833755,46.735534,"Qortubah, الرياض 13248","['Coffee Shop', 'Café']",2021-03-18,cacti cafè,False,$,9.1,32473.0,1645.0,253.0,"['study', 'café', 'eggplant', 'lemon cake', 'massage', 'ice cream', 'friendly staff', 'mango', 'peaches', 'berries', 'matcha', 'coffee', 'sandwiches', 'fruit', 'beautiful interiors', 'bar', 'spacious', 'flat whites']","[{'content': '""Perfect spot for studying""(9 Tips)', 'tag': 'studying', 'tag_counts': '(9 Tips)'}, {'content': '""Iced latte 👍 & their lemon cake is a must 😋👌""(5 Tips)', 'tag': 'lemon cake', 'tag_counts': '(5 Tips)'}, {'content': '""Great interior design 🤩 average coffee.""(4 Tips)', 'tag': 'average coffee', 'tag_counts': '(4 Tips)'}, {'content': '""Amazing interior🌤 + good flat white""(7 Tips)', 'tag': 'flat white', 'tag_counts': '(7 Tips)'}]",1.0,Qurtubah Dist.
654e8ffdec0aa52bd0c2dc6f,Baba Khabbaz (بابا خباز),24.834165,46.736151,الرياض 13248,['Bakery'],2023-11-10,baba khabbaz (بابا خباز),False,$,8.9,304.0,46.0,12.0,,,,Qurtubah Dist.
622a5fc0ac70ac1f18a23eb6,UMQ COFFEE,24.834287,46.736351,"Al Thoumamah Rd, الرياض 13248","['Coffee Shop', 'Coffee Roaster']",2022-03-10,umq coffee,False,$,9.0,1659.0,104.0,14.0,,"[{'content': '""? coffee equipments available ✨ nice staff 🤍limited seating area""(3 Tips)', 'tag': 'staff', 'tag_counts': '(3 Tips)'}]",1.0,Qurtubah Dist.
6269c14a79476c70fae3d2c6,LEVIT8,24.834352,46.736363,"Saudi Arabia (Thoumamah Street), الرياض 13248",['Coffee Shop'],2022-04-27,levit8,False,$,9.0,2009.0,97.0,16.0,,,,Qurtubah Dist.
65f87c469b98dc76d2c6910b,Khva كهڤا,24.83401,46.735783,"AL THUMAMAH ST (St), الرياض 13248",['Coffee Shop'],2024-03-18,khva كهڤا,False,$,8.4,1757.0,35.0,11.0,,,1.0,Qurtubah Dist.
6277606495cee378c404fbda,Babybuns,24.834298,46.736107,"RPMP+PF6, Al Thoumamah Rd, Qurtubah, Riyadh 13248, الرياض 13248",['Breakfast Spot'],2022-05-08,babybuns,False,$,8.6,343.0,87.0,7.0,"['buns', 'avocado']",,,Qurtubah Dist.
5fdfcc9d3a62e47e32b917ce,Veloce (فيلوتشي),24.833226,46.733944,"Thumama Street, الرياض 13248",['Creperie'],2020-12-20,veloce (فيلوتشي),False,Ath Thumamah Rd.,8.8,357.0,47.0,7.0,,"[{'content': '""Coffe of the day and mini pancakes""(2 Tips)', 'tag': 'pancakes', 'tag_counts': '(2 Tips)'}]",,Qurtubah Dist.
6216609d5cc0e145998ddd74,BLY’S,24.834426,46.736642,"Thumamah Rd, الرياض 13248",['Burger Joint'],2022-02-23,bly’s,False,$,8.1,374.0,53.0,15.0,"['Philly cheesesteaks', 'cheesecake', 'fresh raspberries', 'french fries', 'raspberry sauce']","[{'content': '""Philly cheese steak sandwiches are so juicy and full of flavors and try...""(2 Tips)', 'tag': 'Philly cheese steak sandwiches', 'tag_counts': '(2 Tips)'}, {'content': '""I highly recommend the double burger & fries 10/10""(2 Tips)', 'tag': 'fries', 'tag_counts': '(2 Tips)'}]",,Qurtubah Dist.
65eb4d8247a6596ff1a651f6,Fuego (فويقو),24.833543,46.734614,الرياض 13248,['Mexican Restaurant'],2024-03-08,fuego (فويقو),False,$,8.0,229.0,21.0,4.0,,,,Qurtubah Dist.
5ac7c3a73e674108350c4ce2,Coffee Cherries (كرز القهوة),24.831989946471776,46.732279819454135,"Althummamah ٍRd, الرياض 13248",['Coffee Shop'],2018-04-06,coffee cherries (كرز القهوة),False,$,8.9,6829.0,633.0,129.0,"['books', 'juice', 'friendly staff', 'French toast', 'singers', 'coffee', 'well', 'varietals', 'cake']","[{'content': '""Lovely place, nice coffee and friendly staff💗""(2 Tips)', 'tag': 'coffee and friendly staff', 'tag_counts': '(2 Tips)'}, {'content': '""Hidden place, cozy and small, staff are super nice and friendly.""(6 Tips)', 'tag': 'cozy', 'tag_counts': '(6 Tips)'}, {'content': '""... nice black coffee (chemex)""(2 Tips)', 'tag': 'chemex', 'tag_counts': '(2 Tips)'}, {'content': '""Lotus cake was amazing, the best cake we’ve ordered there😍😍😍😍""(4 Tips)', 'tag': 'cake', 'tag_counts': '(4 Tips)'}]",,Qurtubah Dist.
6283cb1b6c1ad63f4bc31044,حلويات حبيبه,24.82628,46.733285,"Qurtubah District (Dabbas Bin Rashid Street), الرياض 13248",['Dessert Shop'],2022-05-17,حلويات حبيبه,False,$,8.4,182.0,27.0,7.0,,,,Qurtubah Dist.
5f122b5bc5d2fb4660f9a753,Boga,24.835409,46.7382,"Thumamah Rd., الرياض 13248","['Sandwich Spot', 'Salad Restaurant', 'Health Food Store']",2020-07-17,boga,False,$,9.1,551.0,178.0,29.0,"['sombrero bowl', 'Cholula', 'classic chicken', 'restaurants', 'clean', 'bread', 'halloumi cheese', 'staff', 'sandwiches', 'crunchy crust', 'salads', 'watermelon juice']","[{'content': '""... spot! Salmon sandwich, sombrero bowl, and Asian bowl are all good options 👍🏻""(2 Tips)', 'tag': 'sombrero bowl', 'tag_counts': '(2 Tips)'}, {'content': '""club sandwich 9/10""(2 Tips)', 'tag': 'club sandwich', 'tag_counts': '(2 Tips)'}, {'content': '""Somberero salad + pesto sandwich 👌🏻""(2 Tips)', 'tag': 'pesto sandwich', 'tag_counts': '(2 Tips)'}, {'content': '""classic chicken sandwich.""(2 Tips)', 'tag': 'chicken', 'tag_counts': '(2 Tips)'}]",,Qurtubah Dist.
5ba94713a35dce002c479fb4,Caffé Bene,24.832174835855422,46.73282164355568,الرياض 13248,['Coffee Shop'],2018-09-24,caffé bene,False,$,7.9,1346.0,267.0,37.0,"['clean', 'scenic views', 'fondue', 'study area', 'staff', 'coffee', 'cheese']","[{'content': '""small outdoor area for families""(5 Tips)', 'tag': 'outdoor area', 'tag_counts': '(5 Tips)'}, {'content': '""Quiet and clean, good for studying and working,...""(2 Tips)', 'tag': 'Quiet', 'tag_counts': '(2 Tips)'}]",1.0,Qurtubah Dist.
5a46da3f60255e14fda56e24,Ranosh (عصائر رنوش),24.833638,46.733977,الرياض,['Juice Bar'],2017-12-30,ranosh (عصائر رنوش),False,$,8.1,28.0,12.0,2.0,,,1.0,Qurtubah Dist.
5a986d756eda027b3886fd1c,Hamburgini (هامبرغيني),24.831963396952933,46.73265295088296,"Thumamah Rd, Riyadh 13248","['Burger Joint', 'Fast Food Restaurant']",2018-03-01,hamburgini (هامبرغيني),False,$,7.7,168.0,111.0,15.0,"['sweet potato fries', 'french fries', 'lemon sauce']","[{'content': '""Their thick fries is the best 😋""(2 Tips)', 'tag': 'fries', 'tag_counts': '(2 Tips)'}]",,Qurtubah Dist.
